;food1;food2;amount
34;ciabatta stuffing with chestnuts, mushrooms and pancetta;cajun red beans;0.200125
35;tomato pepper sauce;reuben sandwich;0.200127
36;jollyrogers  chilaquiles;lentil soup kuppin;0.200131
37;camp david spaghetti with italian sausage;sue s killer martini;0.200132
38;roasted pumpkin soup;"lamb and polenta ""lasagne""";0.20014
39;classic bhavnagari chillies;passover chocolate walnut cookies;0.200141
40;vrat kadhi;beer battered onion rings;0.200142
41;eggplant sandwich with black olive pesto;rajma masaledar;0.200148
42;bouillabaise;gianduja chocolate cheesecake;0.200151
43;dhokla simla mirch;Sal de Parrilha com Chimichurri QUALITÁ 1 Kg;0.200151
44;bal s lentil cookies;homemade tortelli stuffed with stewed oxtail;0.200157
45;spicy sausage linguine;french style fish soup;0.200157
46;chana ghassi;turkish coffee pudding;0.20016
47;garlic breadsticks;savory polenta;0.200168
48;sweet potato spread;easy chicken enchiladas;0.200173
49;hula girl cocktail;veal spiedini - stuffed, skewered, and grilled;0.200173
50;ahi poke and seaweed salad;easy chicken enchiladas;0.200174
51;bacon-wilted greens with warm pecan-crusted goat cheese;vegetable sushi rolls for all ages;0.200179
52;indian broccoli junka;champagne sabayon on top of milk chocolate sauce and fresh berries;0.200181
53;cucumber-kiwi salsa;crostini with white beans and basil-marinated shrimp;0.200182
54;grandmother s tart;caramelized flan from pinhao;0.200188
55;ricotta gnudi with wild mushroom and truffle sauce;fried fish marinated in garlic, vinegar, oregano, and cumin;0.20019
56;thai peanut burgers;bouillabaise;0.200191
57;pan-roasted beef filet in coffee and molasses shellac;grandmother s tart;0.200193
58;onion, tomato, and bell pepper citrus salsa;crispy chicken under a brick;0.200195
59;broiled steak with horseradish cream;spicy drunken shrimp;0.200196
60;japanese dressing;broiled steak with horseradish cream;0.200199
61;curried chicken salad sandwich;harvest foccacia;0.200206
62;laura s maryland crab cakes;apricot glazed carrots;0.20021
63;grilled new potato salad with peppers and onions;steamed snapper with ginger, lime, and cilantro;0.200214
64;candied root vegetables;lobster pasta;0.200218
65;refried bean avocado toast;freak n good ribs;0.200225
66;almond puff pancakes;black treacle scones;0.200227
67;chicken wings with black-bean sauce;sweet and sour shrimp;0.200229
68;broiled steak with horseradish cream;stella s stellar apple spice cake;0.20023
69;black bean cumin dip;harvest foccacia;0.200231
70;mutter dhingri;chopped vegetable salad with feta and olives;0.200231
71;homemade tortelli stuffed with stewed oxtail;lentil soup kuppin;0.200238
72;braised chicken with apples and sage;papaya poached in cinnamon-lime syrup;0.200248
73;marinated crab claws;korean chicken wings;0.200256
74;round 2 recipe - web - cinnamon roll french toast;easy thai peanut sauce;0.200256
75;spaghetti with endives and anchovies;bacon-wilted greens with warm pecan-crusted goat cheese;0.200265
76;pan-roasted beef filet in coffee and molasses shellac;tagliatelle with chestnuts, pancetta, and sage;0.200267
77;classic tiramisu with chocolate;seared ahi with brown rice and pineapple-ginger broth;0.200267
78;vanilla rice pudding with glazed oranges, orange-cardamom madeleines and orange sabayon;chicken gumbo soup;0.200268
79;baccelli e pecorino: fava beans and pecorino;15-minute chicken scaloppini with artichokes;0.200271
80;fish mousseline with sauce nantua;laura s maryland crab cakes;0.200271
81;pasta sauce a la pauly;laura s maryland crab cakes;0.200279
82;freak n good ribs;peperonata;0.200279
83;16-minute greek feast to go;winner s circle lasagna;0.200286
84;finikia;chicken with boursin wrapped in prosciutto;0.200292
85;freak n good ribs;easy mouthwatering baked ravioli;0.200294
86;punch ice block;kowloon s chinese chicken wings;0.200296
87;wild rice stuffing with hazelnuts and dried cranberries;sue s killer martini;0.200298
88;grilled skirt steak with homemade asian barbeque marinade;reuben sandwich;0.2003
89;microwave ham;spicy tomato relish;0.20031
90;16-minute greek feast to go;chicken mole;0.200315
91;cucumber-kiwi salsa;broiled steak with horseradish cream;0.200315
92;gobi pakora;mutter dhingri;0.200326
93;french s green bean casserole;african chicken in spicy red sauce;0.200327
94;french s green bean casserole;savory polenta;0.200328
95;indonesian satay;classic tiramisu with chocolate;0.200331
96;jalapeno ranch salad dressing;sarah s slow cooker chicken cacciatore;0.200332
97;hanoi turmeric grilled fish with dill and onion;rice panki;0.200336
98;tiny potato gnocchi with smoked salmon, scamorza, tomatoes, and basil;16-minute greek feast to go;0.200336
99;sarah s slow cooker chicken cacciatore;cranberry nut bread i;0.200338
100;saltado de vainitas (peruvian green beans with chicken);born in berkeley burgers (winning beef burger);0.200345
101;hollywood thai beef salad;bouillabaise;0.200346
102;chocolate mousse: mousse au chocolat;corn and bean medley;0.20035
103;lamb madras curry;ricotta gnudi with wild mushroom and truffle sauce;0.200352
104;bacon-wilted greens with warm pecan-crusted goat cheese;spicy chicken in tomato-coconut sauce;0.200354
105;duck legs confit cooked in a pouch (“confit” de canard en sous vide);spartan tri tip chili;0.200361
106;spicy sausage linguine;waffled bibimbap;0.200364
107;black bean cumin dip;loaded omelets;0.200366
108;butter chicken;mutter dhingri;0.200367
109;curried cottage fries;stilton walnut tarts;0.200367
110;chocolate ganache glaze;smashed peas and ricotta cheese;0.200368
111;i ve got the need, the need for fried cheese;cajun prime rib roast;0.200368
112;mixed greens with goat cheese crostini;rum caramel cake;0.200375
113;paneer matar masala;mutter dhingri;0.200381
114;chicken escalopes with watercress-green onion mayonnaise;tennessee stack cake;0.200382
115;apple stuffed chicken breast;pork belly with lentils;0.200395
116;ahi poke and seaweed salad;classic tiramisu with chocolate;0.200401
117;spicy sausage linguine;postre de limon (mexican lime dessert);0.200401
118;peruvian beef noodle soup (sopa criolla);ginger-lemongrass portobello mushroom caps;0.200408
119;gemelli with shrimp, red bell peppers, and peas;thanksgiving turkey with italian meat stuffing;0.200411
120;shrimp cognac and baked cheese grits;udon noodles with japanese clam sauce;0.200412
121;rum caramel cake;coddle;0.20042
122;16-minute greek feast to go;teriyaki salmon stir-fry;0.20042
123;vanilla-bean cheesecake with guava topping and mango-lime salad;bacon-wilted greens with warm pecan-crusted goat cheese;0.20042
124;turkey shawarma with crunchy vegetables;chicken tagine with olives and apricots;0.200422
125;bacon-wilted greens with warm pecan-crusted goat cheese;almond burfi;0.200423
126;orechiette with sausage, beans, and mascarpone;mutter dhingri;0.200434
127;insalata di finocchi e avocado (fennel and avocado salad);cajun prime rib roast;0.20044
128;quick and easy spinach rice (palak rice);almond puff pancakes;0.20044
129;chicken wings with black-bean sauce;beet soup with cilantro pesto;0.200442
130;asparagus soup with lemon crème fraîche;creamy parmesan polenta;0.200442
131;norwegian christmas cabbage;corn and bean medley;0.200446
132;onion, tomato, and bell pepper citrus salsa;antipasto di gamberi e avocado con maionese alla senape (prawn and avocado starter with mustard dip);0.200447
133;chinese spareribs with teriyaki glaze;amazing sun-dried tomato cream sauce;0.200448
134;honey soy dipping sauce (for dumplings or potstickers);reuben sandwich;0.20045
135;finikia;different chicken cordon bleu;0.200466
136;insalata di finocchi e avocado (fennel and avocado salad);tennessee stack cake;0.200481
137;roasted beet borscht;duck legs confit cooked in a pouch (“confit” de canard en sous vide);0.200485
138;spicy melon salad with mint and ricotta salata;miss dixie s remoulade;0.200485
139;lentils san stefano;turkey shawarma with crunchy vegetables;0.200486
140;crostini with white beans and basil-marinated shrimp;elijah s phulourie;0.200487
141;mini italian mud pies;chocolate filled crepes covered with strawberry sauce;0.200489
142;grilled hawaiian chicken and pineapple sandwiches;chopped vegetable salad with feta and olives;0.20049
143;vegan baked beans;papaya poached in cinnamon-lime syrup;0.200492
144;paneer matar masala;smashed peas and ricotta cheese;0.200502
145;geoduck papaya ceviche;raspberry linzer cookies;0.200505
146;cajun prime rib roast;fried cheese: saganaki;0.200505
147;briam (greek mixed vegetables in tomato sauce);papaya poached in cinnamon-lime syrup;0.200511
148;southwest cheese grits;chunky chili cornbread;0.200515
149;barbeque bacon quesadillas;classic tiramisu with chocolate;0.200518
150;pimento cheese;rajma masaledar;0.200519
151;vine-ripened tomatoes drizzled with balsamic vinegar;noodle pancakes with caraway;0.200525
152;helva;mutter dhingri;0.200526
153;african chicken in spicy red sauce;southern cornbread dressing;0.200527
154;"""mock"" fettuccini primavera";harvest foccacia;0.200539
155;turkey shawarma with crunchy vegetables;frenchie s salad dressing;0.200542
156;classic tiramisu with chocolate;maple-pepper salmon bites;0.200545
157;avocado mango salsa;spicy mexican torte;0.20055
158;chilled cream of zucchini soup with mussels and fresh mint;sue s killer martini;0.20055
159;savory polenta;fried cheese: saganaki;0.20055
160;teriyaki chicken wings;goat cheese and black pepper biscuits with smoked salmon and dill;0.200561
161;braised salmon;ployes;0.200562
162;french onion soup with homemade beef stock;sarah s slow cooker chicken cacciatore;0.200562
163;sugar free rugelach;bouillabaise;0.20057
164;15-minute chicken scaloppini with artichokes;champagne sabayon on top of milk chocolate sauce and fresh berries;0.200572
165;southern-style green beans with bacon and new potatoes;papaya poached in cinnamon-lime syrup;0.200576
166;rib-eye steak with vidalia onions;christina s sometimes-you-feel-like-a-nut-sometimes-you-don t sweet potato soup;0.20058
167;miso and soy chilean sea bass;classic tiramisu with chocolate;0.200589
168;anchovies in tomato sauce with pasta;gobi pakora;0.200594
169;sue s killer martini;mexican eggplant;0.200595
170;roasted beef tenderloin with fire roasted tomato salsa and potato cheese galette;rajasthani bati;0.200596
171;roasted pumpkin soup;mahi mahi with coconut rice and mango salsa;0.200625
172;thank goodness it s over bruschetta;round 2 recipe - web - cinnamon roll french toast;0.200627
173;bacon-wilted greens with warm pecan-crusted goat cheese;sausage-stuffed mushrooms;0.200627
174;harvest foccacia;steamed snapper with ginger, lime, and cilantro;0.200628
175;thanksgiving turkey with italian meat stuffing;green goddess dressing over iceberg wedges;0.200631
176;5 spice vegetable fried rice;marbleized brownies;0.200631
177;spinach-artichoke ravioli-lasagna;grilled portobello mushrooms;0.200633
178;orechiette with sausage, beans, and mascarpone;marbleized brownies;0.200634
179;chiliquiles a la mexicana de salsa moras;bacon-wilted greens with warm pecan-crusted goat cheese;0.200637
180;chocolate-whiskey truffles souffles with caramel sauce;becky s slow cooker gluten-free thai chicken curry;0.200637
181;"""in the army now"" lasagna";quick chicken fajitas;0.200644
182;hanoi turmeric grilled fish with dill and onion;nectarine-raspberry crisp with spiced-oatmeal crumb topping;0.200644
183;16-minute greek feast to go;hatch chile enchilada pie;0.200646
184;barbeque bacon quesadillas;geoduck papaya ceviche;0.200653
185;rum caramel cake;besan rotis;0.200655
186;italian chicken soup;laura s maryland crab cakes;0.200659
187;rum caramel cake;warm tortilla chips with spicy cheese dip;0.200659
188;turkey shawarma with crunchy vegetables;meatballs a la pizzaiola;0.200663
189;stroopwaffels i;bouillabaise;0.200666
190;corn and bean medley;jalapeno cheddar cornbread;0.200673
191;herbed fillet with red wine reduction;shrimp cognac and baked cheese grits;0.200674
192;sarah s slow cooker chicken cacciatore;italian vegetable lentil soup;0.20069
193;avocado mango salsa;saltado de vainitas (peruvian green beans with chicken);0.200691
194;chocolate bread pudding with walnuts and chocolate chips;tomato pepper sauce;0.200712
195;quick zesty green beans;rajma masaledar;0.200718
196;chocolate bread pudding with walnuts and chocolate chips;fragola pazzo (crazy strawberry);0.200721
197;african chicken in spicy red sauce;grilled apple-and herb-marinated pork chops and potatoes;0.200725
198;bacon-wilted greens with warm pecan-crusted goat cheese;tasty bbq corn on the cob;0.200725
199;spicy tomato relish;steamed and curry flashed oysters;0.200726
200;noodle pancakes with caraway;steamed and curry flashed oysters;0.200727
201;hanoi turmeric grilled fish with dill and onion;bastille day pork chops;0.200728
202;chocolate bread pudding with walnuts and chocolate chips;mushroom, radicchio, and smoked mozzarella lasagne;0.20073
203;ployes;grilled portobello mushrooms;0.20073
204;chile chicken with jasmine rice;laura s maryland crab cakes;0.200731
205;spanakopita (greek spinach pie);punch ice block;0.200732
206;easy nacho dip;ployes;0.200734
207;warm thanksgiving salad of clams, mussels, and mushrooms;easy chicken enchiladas;0.200737
208;freak n good ribs;sauteed corn and green peppers;0.20074
209;punch ice block;spartan tri tip chili;0.20074
210;cumin potatoes;easy chicken enchiladas;0.200752
211;braised meat with butternut squash;chocolate-whiskey truffles souffles with caramel sauce;0.200753
212;spinach-artichoke ravioli-lasagna;baklava cigars;0.200758
213;campechana extra (mexican seafood cocktail);perfect fried green tomatoes;0.20076
214;thick-style lebanese garlic sauce;beer battered onion rings;0.20076
215;perfect fried green tomatoes;Sal de Parrilha com Chimichurri QUALITÁ 1 Kg;0.20076
216;crostini with white beans and basil-marinated shrimp;triple orange angel food cake;0.200761
217;savory polenta;grilled apple-and herb-marinated pork chops and potatoes;0.200762
218;turkey shawarma with crunchy vegetables;texas taco soup;0.200763
219;south african instant milk tart;ricotta gnudi with wild mushroom and truffle sauce;0.200766
220;herb and chicken pasta;stilton walnut tarts;0.200771
221;panque de almendra;bouillabaise;0.200781
222;linguine with shrimp scampi;bouillabaise;0.200784
223;roasted pumpkin soup;chicken and bowtie pasta with asiago cream sauce;0.200785
224;roasted pumpkin soup;baked ziti with johnsonville italian sausage;0.200786
225;grilled chicken tacos;becky s slow cooker gluten-free thai chicken curry;0.200787
226;chili rubbed rotisserie prime rib;rajma masaledar;0.200795
227;beer battered onion rings;cottage cheese blintzes;0.200799
228;peches melba;roasted pumpkin soup;0.2008
229;quick chicken fajitas;triple orange angel food cake;0.200807
230;rum caramel cake;quick seafood enchiladas;0.200813
231;persian steamed white rice (chelo);stilton walnut tarts;0.20082
232;african chicken in spicy red sauce;grilled steak with arugula and shaved parmesan;0.200823
233;broiled steak with horseradish cream;coddle;0.200825
234;rum caramel cake;italian meatball and cheese tortellini soup;0.20083
235;kielbasa with golden onions and apple;16-minute greek feast to go;0.200833
236;slow-cooked, texas-style beef brisket;mutter dhingri;0.200834
237;candied root vegetables;warm tortilla chips with spicy cheese dip;0.20084
238;basic bechamel sauce;16-minute greek feast to go;0.200841
239;almond puff pancakes;carne asada marinade;0.200845
240;teriyaki chicken wings;cannelloni or stuffed shells with veal and sweet sausage;0.200847
241;roasted pumpkin soup;funnel cake with powdered sugar;0.200852
242;stuffed young zucchini;broiled steak with horseradish cream;0.200856
243;broiled steak with horseradish cream;salmon fillets with creamy dill;0.200858
244;pasta piselli;creamy parmesan polenta;0.200866
245;pumpkin pie with almond spiced whipped cream;bouillabaise;0.200866
246;bren s italian meatballs;becky s slow cooker gluten-free thai chicken curry;0.200871
247;round 2 recipe - web - cinnamon roll french toast;kowloon s chinese chicken wings;0.200871
248;spicy mexican torte;palak pakoda chaat;0.200873
249;broiled steak with horseradish cream;anise walnut biscotti;0.200876
250;spinach-artichoke ravioli-lasagna;raspberry linzer cookies;0.200876
251;yeast rolls;beer battered onion rings;0.200887
252;spicy sausage linguine;cramer family stuffed crawfish bread;0.200891
253;kapusta ii;roasted pumpkin soup;0.200894
254;hanoi turmeric grilled fish with dill and onion;creamed scrapple;0.200894
255;saltado de vainitas (peruvian green beans with chicken);oysters bienville;0.200899
256;rib-eye steak with vidalia onions;grilled mangoes with herbs;0.200899
257;diane anderson s cabbage with sausage;sesame encrusted seared tuna;0.200907
258;turkish coffee pudding;baccelli e pecorino: fava beans and pecorino;0.200916
259;beer battered onion rings;old-fashioned italian zucchini fritters;0.200918
260;indian peanut stew;moong soup;0.200922
261;miso and soy chilean sea bass;passover chocolate walnut cookies;0.200931
262;christina s sometimes-you-feel-like-a-nut-sometimes-you-don t sweet potato soup;kowloon s chinese chicken wings;0.200932
263;lemon-herb mayonnaise;laura s maryland crab cakes;0.200934
264;classic tiramisu with chocolate;exotic mushroom chilequiles;0.200939
265;rum caramel cake;bratwurst and red cabbage;0.200949
266;strawberry-yogurt shake;teriyaki chicken wings;0.200949
267;chocolate chip pie iv;thanksgiving turkey with italian meat stuffing;0.200951
268;escarole siciliano;southwest cheese grits;0.200951
269;ham braised with maple raisin sauce;creamy parmesan polenta;0.20096
270;onion, tomato, and bell pepper citrus salsa;best teriyaki sauce;0.200961
271;candied root vegetables;roasted leg of lamb with saffron and olive salsa;0.200962
272;stuffed baby bell peppers;bouillabaise;0.200967
273;round 2 recipe - web - cinnamon roll french toast;austin, texas barbecue paste;0.200974
274;mom sykes  hungarian goulash;veal spiedini - stuffed, skewered, and grilled;0.200989
275;chocolate filled crepes covered with strawberry sauce;foolproof potato latkes;0.200997
276;spinach almond pesto;16-minute greek feast to go;0.20101
277;curried trout with chutney and cucumber-melon raita;miss dixie s remoulade;0.20101
278;capirotada;bouillabaise;0.201011
279;amazin  gazpacho;spinach-artichoke ravioli-lasagna;0.201012
280;southwest cheese grits;salmon fillets with creamy dill;0.201014
281;fanny s italian casserole;broiled steak with horseradish cream;0.20102
282;passover chocolate walnut cookies;green goddess dressing over iceberg wedges;0.20103
283;thanksgiving turkey with italian meat stuffing;mayonnaise and hard boiled eggs;0.201034
284;crostini with white beans and basil-marinated shrimp;pecan crusted chocolate truffle pie;0.201041
285;papaya poached in cinnamon-lime syrup;nutty gajar halwa;0.201041
286;tagliatelle with chestnuts, pancetta, and sage;soya vadi kababs;0.201044
287;rum caramel cake;fabulous gluten-free fried pork chops;0.201047
288;spicy mexican shrimp cocktail;cajun red beans;0.201053
289;north carolina-style bbq pulled-pork sandwiches;broiled steak with horseradish cream;0.201057
290;moroccan chicken stew;mussels with fennel and italian beer;0.201062
291;spicy sausage linguine;lamb tagine with prunes, apricots, and vegetables;0.201062
292;wormy ice cubes - for witch s brew;mutter dhingri;0.201068
293;spicy sausage linguine;hot reuben dip in a pumpernickel bread bowl;0.201068
294;roasted peppers with parsley and black olives;16-minute greek feast to go;0.201072
295;dulce de leche half-moons;easy chicken enchiladas;0.201074
296;freak n good ribs;cantaloupe gelato;0.201075
297;saltado de vainitas (peruvian green beans with chicken);pyaz ki kachori;0.201079
298;ahi poke and seaweed salad;passover chocolate walnut cookies;0.20108
299;spanish chickpeas;laura s maryland crab cakes;0.201084
300;caramel apples and pears;rajma masaledar;0.201086
301;Sorvete Chambinho Nestlé Pote 1l;steamed snapper with ginger, lime, and cilantro;0.201086
302;man of the moment;ployes;0.201087
303;crostini with white beans and basil-marinated shrimp;red wine roast chicken (poulet roti au vin rouge);0.20109
304;man of the moment;geoduck papaya ceviche;0.201092
305;s mmoralist;beer battered onion rings;0.2011
306;escarole siciliano;stilton walnut tarts;0.201102
307;sun-dried tomato and arugula pizza;chicken wings with black-bean sauce;0.201109
308;tabbouleh;chocolate filled crepes covered with strawberry sauce;0.201112
309;campechana extra (mexican seafood cocktail);pan-fried chicken with spinach and pine nuts;0.201113
310;rum caramel cake;masala palak paratha;0.201119
311;chicken with roasted red pepper, chorizo and sweet pea sauce over rice;bacon-wilted greens with warm pecan-crusted goat cheese;0.20112
312;baklava cigars;quick chicken fajitas;0.201128
313;saltado de vainitas (peruvian green beans with chicken);lamb au poivre;0.201132
314;roasted pumpkin soup;rava laddu;0.201137
315;spiced roasted turkey;quick chicken fajitas;0.201139
316;roasted pumpkin soup;colcannon (irish potato salad);0.201142
317;teriyaki chicken wings;the ultimate spice-rubbed rib steak;0.201144
318;southwest cheese grits;stella s stellar apple spice cake;0.201145
319;creamy parmesan polenta;white kimchi;0.201151
320;duck with walnut sherry vinaigrette;becky s slow cooker gluten-free thai chicken curry;0.201152
321;mutter tamatar;spicy tomato relish;0.201159
322;wild rice stuffing with hazelnuts and dried cranberries;stilton walnut tarts;0.201163
323;north carolina-style bbq pulled-pork sandwiches;southwest cheese grits;0.201164
324;baked shrimp in chipotle sauce;roasted pumpkin soup;0.20117
325;tomatillo sauce;pan-fried chicken with spinach and pine nuts;0.201175
326;classic tiramisu with chocolate;inwood hamburgers;0.201175
327;marbleized brownies;toaster biscuits;0.201177
328;moroccan chicken stew;ukrainian filled halushky dumplings;0.201178
329;ricotta gnudi with wild mushroom and truffle sauce;amish sugar cookies;0.201179
330;how to make country gravy;passover chocolate walnut cookies;0.201182
331;bal s lentil cookies;croissant french toast with soft caramel apples;0.201189
332;chicken wings with black-bean sauce;lightly picked cucumber and caviar;0.201199
333;pfeffernusse;jalapeno cheddar cornbread;0.201199
334;chicken wings with black-bean sauce;mooli dhania parathas;0.2012
335;khasta paratha;laura s maryland crab cakes;0.201201
336;oven roasted corn;stilton walnut tarts;0.201206
337;methi paneer;honey plums;0.201219
338;mutter dhingri;foolproof potato latkes;0.201221
339;penne with broccoli rabe, tomatoes, and parmesan;marbleized brownies;0.201223
340;chocolate bread pudding with walnuts and chocolate chips;green herb dip;0.201223
341;baby tomato and fresh herb tabbouleh;amazing sun-dried tomato cream sauce;0.201226
342;gingerbread layer cake with candied kumquats;passover chocolate walnut cookies;0.201227
343;papaya poached in cinnamon-lime syrup;old-world cabbage soup;0.201227
344;crostini with white beans and basil-marinated shrimp;fred s famous tar heel chili;0.201235
345;chef gerard s award winning caesar salad dressing;ricotta gnudi with wild mushroom and truffle sauce;0.201236
346;hanoi turmeric grilled fish with dill and onion;beef liver bourguignonne;0.201236
347;moroccan grilled lamb chops;southwest cheese grits;0.201238
348;spicy sausage linguine;pinto bean, sausage, and fennel gratin;0.201245
349;candied root vegetables;bowties and broccoli;0.201247
350;duck with walnut sherry vinaigrette;teriyaki chicken wings;0.201249
351;new york steaks with a vanilla and cherry sauce;aida s scalloped zucchini;0.20125
352;stilton walnut tarts;mexican eggplant;0.201257
353;spring veggie bagel sandwich;rajma masaledar;0.201259
354;zucchini slice;spinach-artichoke ravioli-lasagna;0.201265
355;candied root vegetables;apricot glazed carrots;0.201268
356;kowloon s chinese chicken wings;baby tomato and fresh herb tabbouleh;0.20127
357;onion, tomato, and bell pepper citrus salsa;sopranos style tiramisu;0.20127
358;baked pears with sauternes custard sauce;ployes;0.201277
359;"""mock"" fettuccini primavera";guinness® dogs;0.201278
360;hanoi turmeric grilled fish with dill and onion;couscous with raisins and almonds;0.201278
361;ricotta gnudi with wild mushroom and truffle sauce;rack of lamb with pesto crumbs;0.201285
362;grandmother s tart;pork belly with lentils;0.201288
363;best teriyaki sauce;sue s killer martini;0.201291
364;mal s samosa quesadillas with curried cabbage and chickpeas;cheesy italian pull apart bread;0.201299
365;butter chicken;ployes;0.201299
366;mushroom turnovers;marbleized brownies;0.201301
367;vanilla rice pudding with glazed oranges, orange-cardamom madeleines and orange sabayon;chicken à la king;0.201302
368;easy mexican sopes;chocolate filled crepes covered with strawberry sauce;0.201307
369;bal s lentil cookies;harvest foccacia;0.201309
370;pasta sauce a la pauly;chicken wings with black-bean sauce;0.201309
371;moroccan chicken stew;fried fish marinated in garlic, vinegar, oregano, and cumin;0.201313
372;spinach-artichoke ravioli-lasagna;ginger pumpkin tart;0.201316
373;grilled hawaiian chicken and pineapple sandwiches;austin, texas barbecue paste;0.201328
374;maamoul: stuffed date-orange cookies;chicken wings with black-bean sauce;0.201331
375;almond puff pancakes;artichokes with butter and parmigiano cheese;0.201331
376;lobster pasta;broiled steak with horseradish cream;0.201334
377;rum caramel cake;nonna s tuscan salad dressing;0.201336
378;seafood risotto;hanoi turmeric grilled fish with dill and onion;0.201339
379;geoduck papaya ceviche;chicken meatball dim sum;0.20134
380;honey soy dipping sauce (for dumplings or potstickers);mutter dhingri;0.201344
381;pasta with shrimp, oysters, and crabmeat;teriyaki chicken wings;0.201345
382;duck with walnut sherry vinaigrette;sarah s slow cooker chicken cacciatore;0.201348
383;ragu alla mugellana;ployes;0.201349
384;big john s oyster motoyaki;finikia;0.201355
385;peruvian beef noodle soup (sopa criolla);noodle pancakes with caraway;0.201358
386;laura s maryland crab cakes;my best salsa;0.201359
387;almond, chocolate, and pistachio spumoni;chicken à la king;0.201376
388;rum caramel cake;pisco sour cocktail;0.201383
389;crostini with white beans and basil-marinated shrimp;brown rice and vegetable risotto;0.201388
390;slow cooker lengua (beef tongue);tomatillo sauce;0.201389
391;candied root vegetables;potato chips;0.201394
392;chicken escalopes with watercress-green onion mayonnaise;tomatillo sauce;0.201394
393;szechwan eggplant stir-fry;rum caramel cake;0.201396
394;hanoi turmeric grilled fish with dill and onion;boxty with liver and bacon;0.201405
395;brown sugar glazed pork chops;saltado de vainitas (peruvian green beans with chicken);0.201408
396;vietnamese pork chops with ginger rice;bacon-wilted greens with warm pecan-crusted goat cheese;0.201421
397;herb and chicken pasta;passover chocolate walnut cookies;0.201425
398;thanksgiving turkey with italian meat stuffing;the ultimate spice-rubbed rib steak;0.201427
399;roasted portobello and prosciutto lasagna;roasted pumpkin soup;0.201442
400;honey soy dipping sauce (for dumplings or potstickers);veal spiedini - stuffed, skewered, and grilled;0.201443
401;honey plums;steamed and curry flashed oysters;0.201443
402;pan seared branzino and tomatoes stuffed with pecorino romano and couscous;bouillabaise;0.201445
403;texas taco soup;rajma masaledar;0.201445
404;freak n good ribs;cardamom and lemon rice pudding;0.201452
405;brined pork and sauerkraut;cheesy italian pull apart bread;0.201464
406;ricotta gnudi with wild mushroom and truffle sauce;game bag stew;0.201465
407;red-bean soup with gremolata;marbleized brownies;0.201469
408;pacific cider;brined pork and sauerkraut;0.20147
409;saltado de vainitas (peruvian green beans with chicken);greek couscous;0.201472
410;south african instant milk tart;classic tiramisu with chocolate;0.201474
411;finikia;slow grilled ancho rubbed pork;0.201476
412;meatballs with angel hair pasta;tender mangoes in brine;0.201479
413;cheesy italian bread wedges;veal chops with roasted shallots, arugula, and soft polenta;0.201481
414;creamy carolina potato salad;passover chocolate walnut cookies;0.201481
415;pompes sucrees;saltado de vainitas (peruvian green beans with chicken);0.201483
416;freak n good ribs;risotto with spicy sausage;0.201483
417;crostini with white beans and basil-marinated shrimp;sweet corn pudding;0.201493
